DataSetId,DataSetName,MeasureCode,MeasureName,ReportedMeasureCode,ReportedMeasureName,ReportingEndDate,ReportingStartDate
2541,SAB 2015-16 - Number of patient days under infection surveillance,MYH0022,Number of patient days under infection surveillance,MYH-RM0211,All staphylococcus aureus,2016-06-30,2015-07-01
2542,ED-TIME 2016-17 - Time until most patients (90%) departed the emergency department,MYH0013,Time until most patients (90%) departed the emergency department,MYH-RM0013,Subsequently admitted patients,2017-06-30,2016-07-01
2547,ED-TIME 2016-17 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0014,Subsequently admitted patients,2017-06-30,2016-07-01
2552,ED-TIME 2016-17 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0015,All patients,2017-06-30,2016-07-01
2557,ED-TIME 2016-17 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0016,Not subsequently admitted patients,2017-06-30,2016-07-01
2562,ED-TIME 2016-17 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0017,Resuscitation,2017-06-30,2016-07-01
2567,ED-TIME 2016-17 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0018,Emergency,2017-06-30,2016-07-01
2572,ED-TIME 2016-17 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0019,Urgent,2017-06-30,2016-07-01
2577,ED-TIME 2016-17 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0020,Semi-Urgent,2017-06-30,2016-07-01
2582,ED-TIME 2016-17 - Percentage of patients who depart the emergency department within four hours of arrival,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,MYH-RM0021,Non-Urgent,2017-06-30,2016-07-01
2587,ED-TIME 2016-17 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0022,Subsequently admitted patients,2017-06-30,2016-07-01
2592,ED-TIME 2016-17 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0023,All patients,2017-06-30,2016-07-01
2597,ED-TIME 2016-17 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0024,Not subsequently admitted patients,2017-06-30,2016-07-01
2602,ED-TIME 2016-17 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0025,Resuscitation,2017-06-30,2016-07-01
2607,ED-TIME 2016-17 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0026,Emergency,2017-06-30,2016-07-01
2612,ED-TIME 2016-17 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0027,Urgent,2017-06-30,2016-07-01
2617,ED-TIME 2016-17 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0028,Semi-Urgent,2017-06-30,2016-07-01
2622,ED-TIME 2016-17 - Number of patients presenting to the emergency department,MYH0012,Number of patients presenting to the emergency department,MYH-RM0029,Non-Urgent,2017-06-30,2016-07-01
2627,ED-WAITS 2016-17 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0030,Resuscitation,2017-06-30,2016-07-01
2632,ED-WAITS 2016-17 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0031,Emergency,2017-06-30,2016-07-01
2637,ED-WAITS 2016-17 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0032,Urgent,2017-06-30,2016-07-01
2642,ED-WAITS 2016-17 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0033,Semi-Urgent,2017-06-30,2016-07-01
2647,ED-WAITS 2016-17 - Number of patients presenting to the emergency department,MYH0011,Number of patients presenting to the emergency department,MYH-RM0034,Non-Urgent,2017-06-30,2016-07-01
2652,ED-WAITS 2016-17 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0035,Resuscitation,2017-06-30,2016-07-01
2657,ED-WAITS 2016-17 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0036,Emergency,2017-06-30,2016-07-01
2662,ED-WAITS 2016-17 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0037,Urgent,2017-06-30,2016-07-01
2667,ED-WAITS 2016-17 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0038,Semi-Urgent,2017-06-30,2016-07-01
2672,ED-WAITS 2016-17 - Percentage of patients who commenced treatment within the recommended time,MYH0010,Percentage of patients who commenced treatment within the recommended time,MYH-RM0039,Non-Urgent,2017-06-30,2016-07-01
2682,ED 2016-17 - Number of patients presenting to the emergency department,MYH0035,Number of patients presenting to the emergency department,MYH-RM0293,Resuscitation,2017-06-30,2016-07-01
2687,ED 2016-17 - Number of patients presenting to the emergency department,MYH0035,Number of patients presenting to the emergency department,MYH-RM0294,Emergency,2017-06-30,2016-07-01
2692,ED 2016-17 - Number of patients presenting to the emergency department,MYH0035,Number of patients presenting to the emergency department,MYH-RM0295,Urgent,2017-06-30,2016-07-01
2697,ED 2016-17 - Number of patients presenting to the emergency department,MYH0035,Number of patients presenting to the emergency department,MYH-RM0296,Semi-Urgent,2017-06-30,2016-07-01
2702,ED 2016-17 - Number of patients presenting to the emergency department,MYH0035,Number of patients presenting to the emergency department,MYH-RM0297,Non-Urgent,2017-06-30,2016-07-01
2707,ED-TIME 2016-17 - Median time (50%) patients departed emergency department,MYH0036,Median time (50%) patients departed emergency department,MYH-RM0298,Subsequently admitted patients,2017-06-30,2016-07-01
2712,ED-TIME 2016-17 - Median time (50%) patients departed emergency department,MYH0036,Median time (50%) patients departed emergency department,MYH-RM0299,Not subsequently admitted patients,2017-06-30,2016-07-01
2717,ED-TIME 2016-17 - Median time (50%) patients departed emergency department,MYH0036,Median time (50%) patients departed emergency department,MYH-RM0300,All patients,2017-06-30,2016-07-01
2722,ED-TIME 2016-17 - Time until most patients (90%) departed the emergency department,MYH0013,Time until most patients (90%) departed the emergency department,MYH-RM0301,Not subsequently admitted patients,2017-06-30,2016-07-01
2727,ED-TIME 2016-17 - Time until most patients (90%) departed the emergency department,MYH0013,Time until most patients (90%) departed the emergency department,MYH-RM0302,All patients,2017-06-30,2016-07-01
2732,ADM 2014-15 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0213,Medical (emergency),2015-06-30,2014-07-01
2733,ADM 2014-15 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0214,Medical (non-emergency),2015-06-30,2014-07-01
2734,ADM 2014-15 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0215,Childbirth,2015-06-30,2014-07-01
2735,ADM 2014-15 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0216,Mental health,2015-06-30,2014-07-01
2736,ADM 2014-15 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0217,Surgical (emergency),2015-06-30,2014-07-01
2737,ADM 2014-15 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0218,Surgical (non-emergency),2015-06-30,2014-07-01
2738,ADM 2014-15 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0219,Total,2015-06-30,2014-07-01
2739,ADM 2015-16 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0213,Medical (emergency),2016-06-30,2015-07-01
2740,ADM 2015-16 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0214,Medical (non-emergency),2016-06-30,2015-07-01
2741,ADM 2015-16 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0215,Childbirth,2016-06-30,2015-07-01
2742,ADM 2015-16 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0216,Mental health,2016-06-30,2015-07-01
2743,ADM 2015-16 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0217,Surgical (emergency),2016-06-30,2015-07-01
2744,ADM 2015-16 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0218,Surgical (non-emergency),2016-06-30,2015-07-01
2745,ADM 2015-16 - Number of admissions to hospital,MYH0024,Number of admissions to hospital,MYH-RM0219,Total,2016-06-30,2015-07-01
2746,SAB 2016-17 - Number of patient days under infection surveillance,MYH0022,Number of patient days under infection surveillance,MYH-RM0211,All staphylococcus aureus,2017-06-30,2016-07-01
2747,SAB 2016-17 - Number of cases of healthcare-associated Staphylococcus aureus bloodstream infection,MYH0021,Number of cases of healthcare-associated Staphylococcus aureus bloodstream infection,MYH-RM0210,All staphylococcus aureus,2017-06-30,2016-07-01
2748,SAB 2016-17 - Rate of healthcare-associated Staphylococcus aureus bloodstream infection,MYH0023,Rate of healthcare-associated Staphylococcus aureus bloodstream infection,MYH-RM0212,All staphylococcus aureus,2017-06-30,2016-07-01
2749,SAB 2016-17 - Number of cases of healthcare-associated Staphylococcus aureus bloodstream infection,MYH0021,Number of cases of healthcare-associated Staphylococcus aureus bloodstream infection,MYH-RM0303,Methicillin-sensitive staphylococcus aureus,2017-06-30,2016-07-01
2750,SAB 2016-17 - Rate of healthcare-associated Staphylococcus aureus bloodstream infection,MYH0023,Rate of healthcare-associated Staphylococcus aureus bloodstream infection,MYH-RM0304,Methicillin-sensitive staphylococcus aureus,2017-06-30,2016-07-01
2751,SAB 2016-17 - Number of cases of healthcare-associated Staphylococcus aureus bloodstream infection,MYH0021,Number of cases of healthcare-associated Staphylococcus aureus bloodstream infection,MYH-RM0305,Methicillin-resistant staphylococcus aureus,2017-06-30,2016-07-01
2752,SAB 2016-17 - Rate of healthcare-associated Staphylococcus aureus bloodstream infection,MYH0023,Rate of healthcare-associated Staphylococcus aureus bloodstream infection,MYH-RM0306,Methicillin-resistant staphylococcus aureus,2017-06-30,2016-07-01
2873,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0040,Urgent elective surgery,2017-06-30,2016-07-01
2874,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0041,Semi-urgent elective surgery,2017-06-30,2016-07-01
2875,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0042,Non-urgent elective surgery,2017-06-30,2016-07-01
2877,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0044,Urgent elective surgery,2017-06-30,2016-07-01
2878,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0045,Semi-urgent elective surgery,2017-06-30,2016-07-01
2879,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0046,Non-urgent elective surgery,2017-06-30,2016-07-01
2880,ES 2016-17 - Percentage of patients who received their surgery within clinically recommended times,MYH0008,Percentage of patients who received their surgery within clinically recommended times,MYH-RM0047,Urgent elective surgery,2017-06-30,2016-07-01
2881,ES 2016-17 - Percentage of patients who received their surgery within clinically recommended times,MYH0008,Percentage of patients who received their surgery within clinically recommended times,MYH-RM0048,Semi-urgent elective surgery,2017-06-30,2016-07-01
2882,ES 2016-17 - Percentage of patients who received their surgery within clinically recommended times,MYH0008,Percentage of patients who received their surgery within clinically recommended times,MYH-RM0049,Non-urgent elective surgery,2017-06-30,2016-07-01
2883,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0050,Cardio-thoracic surgery,2017-06-30,2016-07-01
2884,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0051,Coronary artery bypass grafting,2017-06-30,2016-07-01
2885,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0052,"Ear, nose and throat surgery",2017-06-30,2016-07-01
2886,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0053,Myringoplasty/tympanoplasty,2017-06-30,2016-07-01
2887,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0054,Myringotomy,2017-06-30,2016-07-01
2888,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0055,Septoplasty,2017-06-30,2016-07-01
2889,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0056,Tonsillectomy (with or without adenoidectomy),2017-06-30,2016-07-01
2890,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0057,Ophthalmology,2017-06-30,2016-07-01
2891,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0058,Cataract extraction (with or without intra-ocular lens insertion),2017-06-30,2016-07-01
2892,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0059,General surgery,2017-06-30,2016-07-01
2893,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0060,Cholecystectomy (open/laparoscopic),2017-06-30,2016-07-01
2894,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0061,Haemorrhoidectomy,2017-06-30,2016-07-01
2895,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0062,Inguinal herniotomy/herniorrhaphy,2017-06-30,2016-07-01
2896,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0063,Gynaecology,2017-06-30,2016-07-01
2897,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0064,Hysterectomy (abdominal/vaginal/laparoscopic),2017-06-30,2016-07-01
2898,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0065,Neurosurgery,2017-06-30,2016-07-01
2899,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0066,Orthopaedic surgery,2017-06-30,2016-07-01
2900,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0067,Total hip replacement,2017-06-30,2016-07-01
2901,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0068,Total knee replacement,2017-06-30,2016-07-01
2902,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0069,Other surgery,2017-06-30,2016-07-01
2903,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0070,Plastic surgery,2017-06-30,2016-07-01
2904,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0071,Urology,2017-06-30,2016-07-01
2905,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0072,Cystoscopy,2017-06-30,2016-07-01
2906,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0073,Prostatectomy (transurethral or open),2017-06-30,2016-07-01
2907,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0074,Vascular surgery,2017-06-30,2016-07-01
2908,ES 2016-17 - Median waiting time for elective surgery,MYH0009,Median waiting time for elective surgery,MYH-RM0075,Varicose veins treatment,2017-06-30,2016-07-01
2909,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0076,Cardio-thoracic surgery,2017-06-30,2016-07-01
2910,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0077,Coronary artery bypass grafting,2017-06-30,2016-07-01
2911,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0078,"Ear, nose and throat surgery",2017-06-30,2016-07-01
2912,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0079,Myringoplasty/tympanoplasty,2017-06-30,2016-07-01
2913,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0080,Myringotomy,2017-06-30,2016-07-01
2914,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0081,Septoplasty,2017-06-30,2016-07-01
2915,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0082,Tonsillectomy (with or without adenoidectomy),2017-06-30,2016-07-01
2916,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0083,Ophthalmology,2017-06-30,2016-07-01
2917,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0084,Cataract extraction (with or without intra-ocular lens insertion),2017-06-30,2016-07-01
2918,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0085,General surgery,2017-06-30,2016-07-01
2919,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0086,Cholecystectomy (open/laparoscopic),2017-06-30,2016-07-01
2920,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0087,Haemorrhoidectomy,2017-06-30,2016-07-01
2921,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0088,Inguinal herniotomy/herniorrhaphy,2017-06-30,2016-07-01
2922,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0089,Gynaecology,2017-06-30,2016-07-01
2923,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0090,Hysterectomy (abdominal/vaginal/laparoscopic),2017-06-30,2016-07-01
2924,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0091,Neurosurgery,2017-06-30,2016-07-01
2925,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0092,Orthopaedic surgery,2017-06-30,2016-07-01
2926,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0093,Total hip replacement,2017-06-30,2016-07-01
2927,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0094,Total knee replacement,2017-06-30,2016-07-01
2928,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0095,Other surgery,2017-06-30,2016-07-01
2929,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0096,Plastic surgery,2017-06-30,2016-07-01
2930,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0097,Urology,2017-06-30,2016-07-01
2931,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0098,Cystoscopy,2017-06-30,2016-07-01
2932,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0099,Prostatectomy (transurethral or open),2017-06-30,2016-07-01
2933,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0100,Vascular surgery,2017-06-30,2016-07-01
2934,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0101,Varicose veins treatment,2017-06-30,2016-07-01
2935,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0102,Cardio-thoracic surgery,2017-06-30,2016-07-01
2936,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0103,Coronary artery bypass grafting,2017-06-30,2016-07-01
2937,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0104,"Ear, nose and throat surgery",2017-06-30,2016-07-01
2938,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0105,Myringoplasty/tympanoplasty,2017-06-30,2016-07-01
2939,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0106,Myringotomy,2017-06-30,2016-07-01
2940,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0107,Septoplasty,2017-06-30,2016-07-01
2941,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0108,Tonsillectomy (with or without adenoidectomy),2017-06-30,2016-07-01
2942,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0109,Ophthalmology,2017-06-30,2016-07-01
2943,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0110,Cataract extraction (with or without intra-ocular lens insertion),2017-06-30,2016-07-01
2944,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0111,General surgery,2017-06-30,2016-07-01
2945,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0112,Cholecystectomy (open/laparoscopic),2017-06-30,2016-07-01
2946,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0113,Haemorrhoidectomy,2017-06-30,2016-07-01
2947,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0114,Inguinal herniotomy/herniorrhaphy,2017-06-30,2016-07-01
2948,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0115,Gynaecology,2017-06-30,2016-07-01
2949,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0116,Hysterectomy (abdominal/vaginal/laparoscopic),2017-06-30,2016-07-01
2950,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0117,Neurosurgery,2017-06-30,2016-07-01
2951,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0118,Orthopaedic surgery,2017-06-30,2016-07-01
2952,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0119,Total hip replacement,2017-06-30,2016-07-01
2953,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0120,Total knee replacement,2017-06-30,2016-07-01
2954,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0121,Other surgery,2017-06-30,2016-07-01
2955,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0122,Plastic surgery,2017-06-30,2016-07-01
2956,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0123,Urology,2017-06-30,2016-07-01
2957,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0124,Cystoscopy,2017-06-30,2016-07-01
2958,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0125,Prostatectomy (transurethral or open),2017-06-30,2016-07-01
2959,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0126,Vascular surgery,2017-06-30,2016-07-01
2960,ES 2016-17 - Percentage of patients who waited longer than 365 days for elective surgery,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,MYH-RM0127,Varicose veins treatment,2017-06-30,2016-07-01
3039,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0345,Abdominal or thoracic aortic aneurysm - repair/replacement,2017-06-30,2016-07-01
3040,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0346,Acromioplasty/arthroscopy shoulder/sub acromial decompression,2017-06-30,2016-07-01
3041,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0347,Adenoidectomy,2017-06-30,2016-07-01
3042,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0348,Amputation of limb,2017-06-30,2016-07-01
3043,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0349,Anal fissure - repair of,2017-06-30,2016-07-01
3044,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0350,Anterior cruciate ligament reconstruction,2017-06-30,2016-07-01
3045,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0351,Arthrodesis,2017-06-30,2016-07-01
3046,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0352,Arthroplasty - revision of,2017-06-30,2016-07-01
3047,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0353,Arthroscopy,2017-06-30,2016-07-01
3048,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0354,Axillary node dissection,2017-06-30,2016-07-01
3049,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0355,Bartholin's abscess drainage,2017-06-30,2016-07-01
3050,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0356,Bartholin's cyst - removal of,2017-06-30,2016-07-01
3051,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0357,Bladder neck incision,2017-06-30,2016-07-01
3052,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0358,Blepharoplasty,2017-06-30,2016-07-01
3053,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0359,Branchial apparatus remnant - removal of,2017-06-30,2016-07-01
3054,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0360,Breast lump - excision and/or biopsy,2017-06-30,2016-07-01
3055,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0361,Breast prosthesis - removal of,2017-06-30,2016-07-01
3056,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0362,Breast reconstruction,2017-06-30,2016-07-01
3057,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0363,Breast reduction,2017-06-30,2016-07-01
3058,ES 2016-17 - Number of elective surgeries,MYH0006,Number of elective surgeries,MYH-RM0364,Bunion (hallux valgus) - removal of,2017-06-30,2016-07-01
